id,ora_p,ora_a,aeroporto_arrivo,aeroporto_partenza,aeromobile_volo
1,10:30,12:30,LIN,NAP,1414
2,11:00,13:30,NAP,CIA,5389
3,11:30,14:00,CIA,MXP,1846
4,12:00,14:30,LIN,NAP,5441
5,12:30,15:00,NAP,CIA,2370
6,13:00,15:30,CIA,MXP,1030
7,13:30,16:00,NAP,LIN,1122
8,14:00,16:30,CIA,NAP,4815
9,14:30,17:00,MXP,CIA,4565
10,15:00,17:30,NAP,LIN,8609
11,15:30,18:00,CIA,NAP,1074
12,16:00,18:30,MXP,CIA,7284
13,16:30,19:00,NAP,LIN,6514
14,17:00,19:30,CIA,NAP,6850
15,17:30,20:00,MXP,CIA,1980
16,18:00,20:30,NAP,LIN,1773
17,18:30,21:00,CIA,NAP,3461
18,19:00,21:30,MXP,CIA,7060
19,19:30,22:00,LIN,NAP,5875
20,20:00,22:30,NAP,CIA,6673
21,20:30,23:00,CIA,MXP,6565
22,21:00,23:30,LIN,NAP,7090
23,21:30,00:00,NAP,CIA,8518
24,22:00,00:30,CIA,MXP,6724
25,22:30,01:00,LIN,NAP,7197
26,23:00,01:30,NAP,CIA,1336
27,23:30,02:00,CIA,MXP,2585
28,00:00,02:30,LIN,NAP,6999
29,00:30,03:00,NAP,CIA,2760
30,01:00,03:30,CIA,MXP,6723
31,01:30,04:00,LIN,NAP,4020
32,02:00,04:30,NAP,CIA,7758
33,02:30,05:00,CIA,MXP,1920
34,03:00,05:30,LIN,NAP,5680
35,03:30,06:00,NAP,CIA,8691
36,04:00,06:30,CIA,MXP,6542
37,04:30,07:00,LIN,NAP,4557
38,05:00,07:30,NAP,CIA,6886
39,05:30,08:00,CIA,MXP,5127
40,06:00,08:30,LIN,NAP,1603
41,06:30,09:00,NAP,CIA,2206
42,07:00,09:30,CIA,MXP,7946
43,07:30,10:00,LIN,NAP,8394
44,08:00,10:30,NAP,CIA,7407
45,08:30,11:00,CIA,MXP,5241
46,09:00,11:30,LIN,NAP,1796
47,09:30,12:00,NAP,CIA,2788
48,10:00,12:30,CIA,MXP,2031
49,10:30,13:00,LIN,NAP,2249
50,11:00,13:30,NAP,CIA,1414
51,11:30,14:00,CIA,MXP,5389
52,12:00,14:30,LIN,NAP,1846
53,12:30,15:00,NAP,CIA,5441
54,13:00,15:30,CIA,MXP,2370
55,13:30,16:00,LIN,NAP,1030
56,14:00,16:30,NAP,CIA,1122
57,14:30,17:00,CIA,MXP,4815
58,15:00,17:30,LIN,NAP,4565
59,15:30,18:00,NAP,CIA,8609
60,16:00,18:30,CIA,MXP,1074
61,16:30,19:00,LIN,NAP,7284
62,17:00,19:30,NAP,CIA,6514
63,17:30,20:00,CIA,MXP,6850
64,18:00,20:30,LIN,NAP,1980
65,18:30,21:00,NAP,CIA,1773
66,19:00,21:30,CIA,MXP,3461
67,19:30,22:00,LIN,NAP,7060
68,20:00,22:30,NAP,CIA,5875
69,20:30,23:00,CIA,MXP,6673
70,21:00,23:30,LIN,NAP,6565
71,21:30,00:00,NAP,CIA,7090
72,22:00,00:30,CIA,MXP,8518
73,22:30,01:00,LIN,NAP,6724
74,23:00,01:30,NAP,CIA,7197
75,23:30,02:00,CIA,MXP,1336
76,00:00,02:30,LIN,NAP,2585
77,00:30,03:00,NAP,CIA,6999
78,01:00,03:30,CIA,MXP,2760
79,01:30,04:00,LIN,NAP,6723
80,02:00,04:30,NAP,CIA,4020
81,02:30,05:00,CIA,MXP,7758
82,03:00,05:30,LIN,NAP,1920
83,03:30,06:00,NAP,CIA,5680
84,04:00,06:30,CIA,MXP,8691
85,04:30,07:00,LIN,NAP,6542
86,05:00,07:30,NAP,CIA,4557
87,05:30,08:00,CIA,MXP,6886
88,06:00,08:30,LIN,NAP,5127
89,06:30,09:00,NAP,CIA,1603
90,07:00,09:30,CIA,MXP,2206
91,07:30,10:00,LIN,NAP,7946
92,08:00,10:30,NAP,CIA,8394
93,08:30,11:00,CIA,MXP,7407
94,09:00,11:30,LIN,NAP,5241
95,09:30,12:00,NAP,CIA,1796
96,10:00,12:30,CIA,MXP,2788
97,10:30,13:00,LIN,NAP,2031
98,11:00,13:30,NAP,CIA,2249
99,11:30,14:00,CIA,MXP,1414
100,12:00,14:30,LIN,NAP,5389
101,12:30,15:00,NAP,CIA,1846
102,13:00,15:30,CIA,MXP,5441
103,13:30,16:00,LIN,NAP,2370
104,14:00,16:30,NAP,CIA,1030
105,14:30,17:00,CIA,MXP,1122
106,15:00,17:30,LIN,NAP,4815
107,15:30,18:00,NAP,CIA,4565
108,16:00,18:30,CIA,MXP,8609
109,16:30,19:00,LIN,NAP,1074
110,17:00,19:30,NAP,CIA,7284
111,17:30,20:00,CIA,MXP,6514
112,18:00,20:30,NAP,LIN,6850
113,18:30,21:00,CIA,NAP,1980
114,19:00,21:30,MXP,CIA,1773
115,19:30,22:00,NAP,LIN,3461
116,20:00,22:30,CIA,NAP,7060
117,20:30,23:00,MXP,CIA,5875
118,21:00,23:30,NAP,LIN,6673
119,21:30,00:00,CIA,NAP,6565
120,22:00,00:30,MXP,NAP,7090
121,22:30,01:00,NAP,LIN,8518
122,23:00,01:30,CIA,NAP,6724
123,23:30,02:00,MXP,CIA,7197
124,00:00,02:30,NAP,LIN,1336
125,00:30,03:00,CIA,NAP,2585
126,01:00,03:30,MXP,CIA,6999
127,01:30,04:00,NAP,LIN,2760
128,02:00,04:30,CIA,NAP,6723
129,02:30,05:00,NAP,CIA,4020
